Team,Stadium,Location,Capacity
Al-Ahli,Petra Stadium,Amman,6000
Al-Faisaly,Amman International Stadium,Amman,17619
Al-Hussein,Al-Hassan Stadium,Irbid,12000
Al-Jazeera,Amman International Stadium,Amman,17619
Al-Ramtha,Al-Hassan Stadium,Irbid,12000
Al-Salt,Prince Hussein Bin Abdullah II Stadium,Al-Salt,7500
Al-Sareeh,Al-Hassan Stadium,Irbid,12000
Al-Wehdat,King Abdullah II Stadium,Amman,13000
Ma'an,Princess Haya Stadium,Ma'an,1000
Moghayer Al Sarhan,Prince Mohammed Stadium,Mafraq,15000
Shabab Al-Aqaba,Al-Aqaba Stadium,Aqaba,3800
Shabab Al Ordon,King Abdullah II Stadium,Amman,13000 