Player_Name,Team,Goals
Muhannad Jihad Samrin,Al-Wehdat,11
Mohammad Al Akash,Al-Sareeh,9
Yousef Abu Jalboush,Al-Hussein,7
Mohammad Abdel Motaleb,Al-Salt,7
Ibrahim Sabra,Al-Wehdat,7
Mamadou Niass,Al-Salt,6
Ahmad Al Arsan,Al-Faisaly,5
Anas Abu Taimah,Al-Ahli,5
Ahmad Al Harahsheh,Moghayer Al Sarhan,5
Ali Azayzeh,Al-Ramtha,5
Faraj Al Muzaynah,Shabab Al-Aqaba,4
Mundhir Abu Amarah,Al-Faisaly,4
Hamza Al Dardour,Al-Ramtha,4
Hamza Al Sayfi,Al-Jazeera,4
Ousainou Ceesay,Al-Wehdat,4
Mahmoud Mardi,Al-Hussein,4 